,title,description,year,age_limit,rating,minutes,hours,age_limit_encoded,clean_tokenised_description,lemmatized_description,topic,topic_name
0,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Побег из Шоушенка</span>","Банкир, осужденный за уксорицид, образует дружбу за четверть века с закаленным осужденным, сохраняя при этом его невиновность и пытаясь оставаться надежды на простое сострадание.",1994,16+,9.3,22,2,4,"['банкир', 'осужденный', 'уксорицид', 'образует', 'дружбу', 'четверть', 'века', 'закаленным', 'осужденным', 'сохраняя', 'невиновность', 'пытаясь', 'оставаться', 'надежды', 'простое', 'сострадание']",банкир осудить уксорицид образовать дружба четверть век закалённый осудить сохранять невиновность пытаться оставаться надежда простой сострадание,3,Криминальные триллеры и полицейские расследования
1,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Крёстный отец</span>",Старение патриарха организованной криминальной династии передает контроль над его тайной империей его неохотному сыну.,1972,16+,9.2,55,2,4,"['старение', 'патриарха', 'организованной', 'криминальной', 'династии', 'передает', 'контроль', 'тайной', 'империей', 'неохотному', 'сыну']",старение патриарх организовать криминальный династия передавать контроль тайна империя неохотный сын,3,Криминальные триллеры и полицейские расследования
2,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Тёмный рыцарь</span>","Когда угроза, известная как Джокер, наносит ущерб и хаос народах Готэма, Бэтмен, Джеймс Гордон и Харви Дент должны работать вместе, чтобы положить конец безумию.",2008,14+,9.0,32,2,3,"['угроза', 'известная', 'джокер', 'наносит', 'ущерб', 'хаос', 'народах', 'готэма', 'бэтмен', 'джеймс', 'гордон', 'харви', 'дент', 'должны', 'работать', 'вместе', 'положить', 'конец', 'безумию']",угроза известный джокер наносить ущерб хаос народ готэма бэтмена джеймс гордон харви дента должный работать вместе положить конец безумие,-1,Военные драмы и супергеройские конфликты
3,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Крёстный отец 2</span>","Ранняя жизнь и карьера Вито Корлеоне в 1920 -х годах изображаются, в то время как его сын Майкл расширяет и подтягивает свою власть в отношении синдиката по семейной преступности.",1974,16+,9.0,22,3,4,"['ранняя', 'жизнь', 'карьера', 'вито', 'корлеоне', '1920', 'х', 'годах', 'изображаются', 'время', 'сын', 'майкл', 'расширяет', 'подтягивает', 'власть', 'отношении', 'синдиката', 'семейной', 'преступности']",ранний жизнь карьера вить корлеон 1920 х изображаться время сын майкл расширять подтягивать власть отношение синдикат семейный преступность,3,Криминальные триллеры и полицейские расследования
4,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">12 рaзгневанных мужчин</span>","Присяжные в суде по делу об убийстве в Нью -Йорке разочарованы одним членом, чей скептически осторожность заставляет их более тщательно рассмотреть доказательства, прежде чем принять поспешное приговор.",1957,16+,9.0,36,1,4,"['присяжные', 'суде', 'делу', 'убийстве', 'нью', 'йорке', 'разочарованы', 'одним', 'членом', 'чей', 'скептически', 'осторожность', 'заставляет', 'тщательно', 'рассмотреть', 'доказательства', 'прежде', 'принять', 'поспешное', 'приговор']",присяжный суд дело убийство нью йорк разочаровать член чей скептически осторожность заставлять тщательно рассмотреть доказательство прежде принять поспешный приговор,3,Криминальные триллеры и полицейские расследования
5,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Властелин колец: Возвращение короля</span>","Гандальф и Арагорн ведут мир людей против армии Саурона, чтобы привлечь свой взгляд от Фродо и Сэма, когда они приближаются к Маунт -Дум с одним кольцом.",2003,12+,9.0,21,3,2,"['гандальф', 'арагорн', 'ведут', 'мир', 'людей', 'против', 'армии', 'саурона', 'привлечь', 'взгляд', 'фродо', 'сэма', 'приближаются', 'маунт', 'дум', 'одним', 'кольцом']",гандальф арагорн вести мир человек против армия саурон привлечь взгляд фродый сэм приближаться маунт дума кольцо,1,Эпическая фантастика и космические приключения
6,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Список Шиндлера</span>","В оккупированной немецкой Поль году во время Второй мировой войны промышленный Оскар Шиндлер постепенно заинтересован в своей еврейской рабочей силе после того, как нацисты были свидетелем их преследования со стороны нацистов.",1993,16+,9.0,15,3,4,"['оккупированной', 'немецкой', 'поль', 'году', 'время', 'второй', 'мировой', 'войны', 'промышленный', 'оскар', 'шиндлер', 'постепенно', 'заинтересован', 'своей', 'еврейской', 'рабочей', 'силе', 'нацисты', 'свидетелем', 'преследования', 'стороны', 'нацистов']",оккупировать немецкий поль время второй мировой война промышленный оскар шиндлера постепенно заинтересованный еврейский рабочий сила нацист свидетель преследование сторона нацист,2,Исторические драмы о Второй мировой войне
7,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Криминальное чтиво</span>","Жизнь двух наемников толпы, боксера, гангстера и его жены, и пары закусочных бандитов переплетаются в четырех сказках о насилии и искуплении.",1994,18+,8.9,34,2,5,"['жизнь', 'двух', 'наемников', 'толпы', 'боксера', 'гангстера', 'жены', 'пары', 'закусочных', 'бандитов', 'переплетаются', 'четырех', 'сказках', 'насилии', 'искуплении']",жизнь наёмник толпа боксёр гангстер жена пара закусочный бандит переплетаться четыре сказка насилие искупление,3,Криминальные триллеры и полицейские расследования
8,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Властелин колец: Братство кольца</span>","Крутый хоббит из Шира и восемь компаньонов отправился в путешествие, чтобы уничтожить мощное кольцо и спасти Средиземье от Темного лорда Саурона.",2001,12+,8.9,58,2,2,"['крутый', 'хоббит', 'шира', 'восемь', 'компаньонов', 'отправился', 'путешествие', 'уничтожить', 'мощное', 'кольцо', 'спасти', 'средиземье', 'темного', 'лорда', 'саурона']",круть хоббит шир восемь компаньон отправиться путешествие уничтожить мощный кольцо спасти средиземье тёмный лорд саурон,1,Эпическая фантастика и космические приключения
9,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Хороший, плохой, злой</span>","Мошенничество на щедрости присоединяется к двум мужчинам в непростительном союзе против третьего в гонке, чтобы найти целое состояние в золоте, похороненное на отдаленном кладбище.",1966,12+,8.8,41,2,2,"['мошенничество', 'щедрости', 'присоединяется', 'двум', 'мужчинам', 'непростительном', 'союзе', 'против', 'третьего', 'гонке', 'найти', 'целое', 'состояние', 'золоте', 'похороненное', 'отдаленном', 'кладбище']",мошенничество щедрость присоединяться мужчина непростительный союз против третий гонка найти целое состояние золото похоронить отдалить кладбище,3,Криминальные триллеры и полицейские расследования
10,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Форрест Гамп</span>","История Соединенных Штатов с 1950 -х годов до 70 -х годов разворачивается с точки зрения мужчины из Алабамы с IQ из 75 лет, который жаждет воссоединиться со своей детской возлюбленной.",1994,0+,8.8,22,2,1,"['история', 'соединенных', 'штатов', '1950', 'х', 'годов', '70', 'х', 'годов', 'разворачивается', 'точки', 'зрения', 'мужчины', 'алабамы', 'iq', '75', 'лет', 'жаждет', 'воссоединиться', 'своей', 'детской', 'возлюбленной']",история соединить штат 1950 х 70 х разворачиваться точка зрение мужчина алабама iq 75 жаждать воссоединиться детский возлюбить,0,Повседневные драмы и семейные истории
11,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Властелин колец: Две крепости</span>","В то время как Фродо и Сэм Эдж ближе к Мордору с помощью Shifty Gollum, разделенное общение выступает против нового союзника Саурона, Сарумана и его полщиков Исигарда.",2002,12+,8.8,59,2,2,"['время', 'фродо', 'сэм', 'эдж', 'ближе', 'мордору', 'помощью', 'shifty', 'gollum', 'разделенное', 'общение', 'выступает', 'против', 'нового', 'союзника', 'саурона', 'сарумана', 'полщиков', 'исигарда']",время фродый сэм эдж близкий мордору помощь shifty gollum разделить общение выступать против новый союзник саурон сарумана полщиковы исигарда,1,Эпическая фантастика и космические приключения
12,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Бойцовский клуб</span>","Офисный работник бессонницы и производитель мыльной помощи дьяволам образуют подземный бой-клуб, который превращается в гораздо больше.",1999,18+,8.8,19,2,5,"['офисный', 'работник', 'бессонницы', 'производитель', 'мыльной', 'помощи', 'дьяволам', 'образуют', 'подземный', 'бойклуб', 'превращается', 'гораздо']",офисный работник бессонница производитель мыльный помощь дьявол образовать подземный бойклуб превращаться гораздо,-1,Военные драмы и супергеройские конфликты
13,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Начало</span>","Вор, который крадет корпоративные секреты с помощью технологии совместного использования мечты, дает обратную задачу посадки идеи в сознание C.E.O., но его трагическое прошлое может обребить профессионал ... прочитать все",2010,12+,8.8,28,2,2,"['вор', 'крадет', 'корпоративные', 'секреты', 'помощью', 'технологии', 'совместного', 'использования', 'мечты', 'дает', 'обратную', 'задачу', 'посадки', 'идеи', 'сознание', 'ceo', 'трагическое', 'прошлое', 'обребить', 'профессионал', 'прочитать']",вор красть корпоративный секрет помощь технология совместный использование мечта давать обратный задача посадка идея сознание ceo трагический прошлое обребить профессионал прочитать,3,Криминальные триллеры и полицейские расследования
14,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Звёздные войны. Эпизод 5: Империя наносит ответный удар</span>","После того, как Империя одолевает альянс повстанцев, Люк Скайуокер начинает тренироваться с мастером Джедай Йода, в то время как Дарт Вейдер и охотник за головами Боба Фетт преследуют своих друзей через галактику.",1980,0+,8.7,4,2,1,"['империя', 'одолевает', 'альянс', 'повстанцев', 'люк', 'скайуокер', 'начинает', 'тренироваться', 'мастером', 'джедай', 'йода', 'время', 'дарт', 'вейдер', 'охотник', 'головами', 'боба', 'фетт', 'преследуют', 'своих', 'друзей', 'галактику']",империя одолевать альянс повстанец люк скайуокер начинать тренироваться мастер джедай йод время дарт вейдёр охотник голова боб фетта преследовать друг галактика,1,Эпическая фантастика и космические приключения
15,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Матрица</span>","Когда прекрасный незнакомец приводит компьютерного хакера Нео к запрещенному подземному миру, он обнаруживает шокирующую правду-жизнь, которую он знает,-это сложный обман злой кибер-интеллекты.",1999,16+,8.7,16,2,4,"['прекрасный', 'незнакомец', 'приводит', 'компьютерного', 'хакера', 'нео', 'запрещенному', 'подземному', 'миру', 'обнаруживает', 'шокирующую', 'правдужизнь', 'которую', 'знаетэто', 'сложный', 'обман', 'злой', 'киберинтеллекты']",прекрасный незнакомец приводить компьютерный хакер нео запретить подземный мир обнаруживать шокировать правдужизнь знаетэтый сложный обман злой киберинтеллект,3,Криминальные триллеры и полицейские расследования
16,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Славные парни</span>","История Генри Хилла и его жизни в мафии, освещая его отношения с его женой Карен и его партнерами по толпике Джимми Конвея и Томми Девито.",1990,16+,8.7,25,2,4,"['история', 'генри', 'хилла', 'жизни', 'мафии', 'освещая', 'отношения', 'женой', 'карен', 'партнерами', 'толпике', 'джимми', 'конвея', 'томми', 'девито']",история генри хилл жизнь мафия освещать отношение жена карен партнёр толпик джимми конвеять томми девить,3,Криминальные триллеры и полицейские расследования
17,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Пролетая над гнездом кукушки</span>","Осенью 1963 года ветеран Корейской войны и преступник умоляет безумие и поступает в психиатрическое учреждение, где он снимает испуганных пациентов против тиранической медсестры.",1975,16+,8.7,13,2,4,"['осенью', '1963', 'года', 'ветеран', 'корейской', 'войны', 'преступник', 'умоляет', 'безумие', 'поступает', 'психиатрическое', 'учреждение', 'снимает', 'испуганных', 'пациентов', 'против', 'тиранической', 'медсестры']",осень 1963 ветеран корейский война преступник умолять безумие поступать психиатрический учреждение снимать испуганный пациент против тиранический медсестра,3,Криминальные триллеры и полицейские расследования
18,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Интерстеллар</span>","Когда в будущем Земля станет необитаемой, фермеру и бывшему пилоту на NASA Джозеф Купер поручено пилотировать космический корабль вместе с командой исследователей, чтобы найти новую планету для людей.",2014,12+,8.7,49,2,2,"['будущем', 'земля', 'станет', 'необитаемой', 'фермеру', 'бывшему', 'пилоту', 'nasa', 'джозеф', 'купер', 'поручено', 'пилотировать', 'космический', 'корабль', 'вместе', 'командой', 'исследователей', 'найти', 'новую', 'планету', 'людей']",будущее земля стать необитаемый фермер бывший пилот nasa джозеф купер поручить пилотировать космический корабль вместе команда исследователь найти новый планета человек,1,Эпическая фантастика и космические приключения
19,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Семь</span>","Два детектива, новичок и ветеран, охотятся на серийного убийцы, который использует семь смертельных грехов в качестве своих мотивов.",1995,18+,8.6,7,2,5,"['детектива', 'новичок', 'ветеран', 'охотятся', 'серийного', 'убийцы', 'использует', 'семь', 'смертельных', 'грехов', 'качестве', 'своих', 'мотивов']",детектив новичок ветеран охотиться серийный убийца использовать семь смертельный грех качество мотив,3,Криминальные триллеры и полицейские расследования
20,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Эта замечательная жизнь</span>","Ангела посылают с небес, чтобы помочь отчаянно разочарованному бизнесмену, показав ему, какая жизнь была бы, если бы он никогда не существовал.",1946,PG,8.6,10,2,10,"['ангела', 'посылают', 'небес', 'помочь', 'отчаянно', 'разочарованному', 'бизнесмену', 'показав', 'жизнь', 'существовал']",ангела посылать небо помочь отчаянно разочаровать бизнесмен показать жизнь существовать,-1,Военные драмы и супергеройские конфликты
21,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Семь самураев</span>","Фермеры из деревни, эксплуатируемой бандитами, нанимают ветеран -самурай для защиты, и он собирает шесть других самураев, чтобы присоединиться к нему.",1954,Not Rated,8.6,27,3,9,"['фермеры', 'деревни', 'эксплуатируемой', 'бандитами', 'нанимают', 'ветеран', 'самурай', 'защиты', 'собирает', 'шесть', 'других', 'самураев', 'присоединиться', 'нему']",фермер деревня эксплуатировать бандит нанимать ветеран самурай защита собирать шесть самурай присоединиться,1,Эпическая фантастика и космические приключения
22,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Молчание ягнят</span>","Молодой Ф.Б.И. Ка курсант должен получить помощь в заключении и манипулятивном убийце каннибала, чтобы помочь поймать другого серийного убийцы, сумасшедшего, который скорее пострадает.",1991,18+,8.6,58,1,5,"['молодой', 'фби', 'ка', 'курсант', 'должен', 'получить', 'помощь', 'заключении', 'манипулятивном', 'убийце', 'каннибала', 'помочь', 'поймать', 'другого', 'серийного', 'убийцы', 'сумасшедшего', 'скорее', 'пострадает']",молодой фби ка курсант должный получить помощь заключение манипулятивный убийца каннибал помочь поймать серийный убийца сумасшедший скорее пострадать,3,Криминальные триллеры и полицейские расследования
23,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Спасти рядового Райана</span>","После посадки в Нормандии группа солдат США идет за вражеской линии, чтобы забрать десантник, чьи братья были убиты в бою.",1998,16+,8.6,49,2,4,"['посадки', 'нормандии', 'группа', 'солдат', 'сша', 'идет', 'вражеской', 'линии', 'забрать', 'десантник', 'чьи', 'братья', 'убиты', 'бою']",посадка нормандия группа солдат сша идти вражеский линия забрать десантник чей брат убить бой,1,Эпическая фантастика и космические приключения
24,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Город Бога</span>","В трущобах Рио два детских путях расходятся, когда один из них пытается стать фотографом, а другой - королем.",2002,16+,8.6,10,2,4,"['трущобах', 'рио', 'детских', 'путях', 'расходятся', 'пытается', 'стать', 'фотографом', 'королем']",трущоба рио детский путь расходиться пытаться стать фотограф король,0,Повседневные драмы и семейные истории
25,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Зелёная миля</span>","Смертельный охранник узнает, что нежный гигант в его атаке обладает таинственным подарком.",1999,14+,8.6,9,3,3,"['смертельный', 'охранник', 'узнает', 'нежный', 'гигант', 'атаке', 'обладает', 'таинственным', 'подарком']",смертельный охранник узнать нежный гигант атака обладать таинственный подарок,-1,Военные драмы и супергеройские конфликты
26,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Жизнь прекрасна</span>","Когда открытый еврейский официант и его сын становятся жертвами Холокоста, он использует идеальную смесь воли, юмора и воображения, чтобы защитить своего сына от опасностей вокруг их лагеря.",1997,0+,8.6,56,1,1,"['открытый', 'еврейский', 'официант', 'сын', 'становятся', 'жертвами', 'холокоста', 'использует', 'идеальную', 'смесь', 'воли', 'юмора', 'воображения', 'защитить', 'своего', 'сына', 'опасностей', 'вокруг', 'лагеря']",открытый еврейский официант сын становиться жертва холокост использовать идеальный смесь воля юмор воображение защитить сын опасность вокруг лагерь,-1,Военные драмы и супергеройские конфликты
27,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Терминатор 2: Судный день</span>","Киборг, идентичный тем, кто не смог убить Сару Коннор, теперь должен защитить своего десятилетнего сына Джона от еще более продвинутого и могущественного киборга.",1991,16+,8.6,17,2,4,"['киборг', 'идентичный', 'смог', 'убить', 'сару', 'коннор', 'должен', 'защитить', 'своего', 'десятилетнего', 'сына', 'джона', 'продвинутого', 'могущественного', 'киборга']",киборг идентичный смочь убить сара коннора должный защитить десятилетний сын джон продвинуть могущественный киборг,1,Эпическая фантастика и космические приключения
28,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Звёздные войны: Эпизод 4 - Новая надежда</span>","Люк Скайуокер объединяет усилия с рыцарем-джедаем, дерзким пилотом, вуки и двумя дроидами, чтобы спасти галактику от боевой станции, разрушающей мир империи, а также пытается спасти ... прочитать все",1977,0+,8.6,1,2,1,"['люк', 'скайуокер', 'объединяет', 'усилия', 'рыцаремджедаем', 'дерзким', 'пилотом', 'вуки', 'двумя', 'дроидами', 'спасти', 'галактику', 'боевой', 'станции', 'разрушающей', 'мир', 'империи', 'также', 'пытается', 'спасти', 'прочитать']",люк скайуокер объединять усилие рыцаремджедать дерзкий пилот вук дроид спасти галактика боевой станция разрушать мир империя также пытаться спасти прочитать,1,Эпическая фантастика и космические приключения
29,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Назад в будущее</span>","Марти МакФлай, 17-летний ученик средней школы, случайно отправил 30 лет в прошлое в путешествии во времени Делореан, изобретенного его близким другом, научным сотрудником Доком Брауном.",1985,12+,8.5,56,1,2,"['марти', 'макфлай', '17летний', 'ученик', 'средней', 'школы', 'случайно', 'отправил', '30', 'лет', 'прошлое', 'путешествии', 'времени', 'делореан', 'изобретенного', 'близким', 'другом', 'научным', 'сотрудником', 'доком', 'брауном']",марти макфлай 17летний ученик средний школа случайно отправить 30 прошлое путешествие время делореан изобрести близкие друг научный сотрудник док браун,0,Повседневные драмы и семейные истории
30,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Унесённые призраками</span>","Во время переезда своей семьи в пригороды угрюмая 10-летняя девочка бродит в мир, которым управляют боги, ведьмы и духи, и где люди превращаются в зверей.",2001,12+,8.6,4,2,2,"['время', 'переезда', 'своей', 'семьи', 'пригороды', 'угрюмая', '10летняя', 'девочка', 'бродит', 'мир', 'которым', 'управляют', 'боги', 'ведьмы', 'духи', 'люди', 'превращаются', 'зверей']",время переезд семья пригород угрюмый 10летний девочка бродить мир управлять бог ведьма дух человек превращаться зверь,0,Повседневные драмы и семейные истории
31,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Пианист</span>","Во время Второй мировой войны известный польский музыкант Wladyslaw сталкивается с различной борьбой, поскольку он теряет контакт со своей семьей. Когда ситуация ухудшается, он прячется в руинах Варшавы, чтобы выжить.",2002,16+,8.5,30,2,4,"['время', 'второй', 'мировой', 'войны', 'известный', 'польский', 'музыкант', 'wladyslaw', 'сталкивается', 'различной', 'борьбой', 'поскольку', 'теряет', 'контакт', 'своей', 'семьей', 'ситуация', 'ухудшается', 'прячется', 'руинах', 'варшавы', 'выжить']",время второй мировой война известный польский музыкант wladyslaw сталкиваться различный борьба поскольку терять контакт семья ситуация ухудшаться прятаться руина варшава выжить,0,Повседневные драмы и семейные истории
32,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Гладиатор</span>","Бывший римский генерал намерен точно месть против коррумпированного императора, который убил его семью и отправил его в рабство.",2000,18+,8.5,35,2,5,"['бывший', 'римский', 'генерал', 'намерен', 'точно', 'месть', 'против', 'коррумпированного', 'императора', 'убил', 'семью', 'отправил', 'рабство']",бывший римский генерал намеренный точно месть против коррумпировать император убить семья отправить рабство,-1,Военные драмы и супергеройские конфликты
33,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Паразиты</span>",Жадность и дискриминация класса угрожают недавно сформированным симбиотическим отношениям между богатой семьей парка и обездоленным кланом Ким.,2019,18+,8.5,12,2,5,"['жадность', 'дискриминация', 'класса', 'угрожают', 'недавно', 'сформированным', 'симбиотическим', 'отношениям', 'богатой', 'семьей', 'парка', 'обездоленным', 'кланом', 'ким']",жадность дискриминация класс угрожать недавно сформировать симбиотический отношение богатый семья парк обездолить клан ким,0,Повседневные драмы и семейные истории
34,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Психо</span>","Секретарь по прибеганию к растрату укрывается в уединенном калифорнийском мотеле, принадлежащем подавленному человеку и его властной матери.",1960,16+,8.5,49,1,4,"['секретарь', 'прибеганию', 'растрату', 'укрывается', 'уединенном', 'калифорнийском', 'мотеле', 'принадлежащем', 'подавленному', 'человеку', 'властной', 'матери']",секретарь прибеганий растрата укрываться уединённый калифорнийский мотель принадлежать подавить человек властный мать,-1,Военные драмы и супергеройские конфликты
35,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Король лев</span>","Принц Лев Симба и его отец подвергаются нападению его горького дяди, который хочет подняться на престол.",1994,0+,8.5,28,1,1,"['принц', 'лев', 'симба', 'отец', 'подвергаются', 'нападению', 'горького', 'дяди', 'хочет', 'подняться', 'престол']",принц лев симб отец подвергаться нападение горький дядя хотеть подняться престол,1,Эпическая фантастика и космические приключения
36,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Могила светлячков</span>",Молодой мальчик и его младшая сестра изо всех сил пытаются выжить в Японии во время Второй мировой войны.,1988,12+,8.5,28,1,2,"['молодой', 'мальчик', 'младшая', 'сестра', 'изо', 'сил', 'пытаются', 'выжить', 'японии', 'время', 'второй', 'мировой', 'войны']",молодой мальчик младший сестра сила пытаться выжить япония время второй мировой война,2,Исторические драмы о Второй мировой войне
37,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Отступники</span>","Полицейский под прикрытием и родинка в полиции пытаются идентифицировать друг друга, проникнув в ирландскую банду в Южном Бостоне.",2006,16+,8.5,31,2,4,"['полицейский', 'прикрытием', 'родинка', 'полиции', 'пытаются', 'идентифицировать', 'друг', 'друга', 'проникнув', 'ирландскую', 'банду', 'южном', 'бостоне']",полицейский прикрытие родинка полиция пытаться идентифицировать друг друг проникнуть ирландский банда южный бостон,3,Криминальные триллеры и полицейские расследования
38,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Одержимость</span>","Многообещающий молодой барабанщик записывается в музыкальную консерваторию, где его мечты о величии обучаются инструктором, который не остановится ни перед чем, чтобы реализовать потенциал студента.",2014,16+,8.5,46,1,4,"['многообещающий', 'молодой', 'барабанщик', 'записывается', 'музыкальную', 'консерваторию', 'мечты', 'величии', 'обучаются', 'инструктором', 'остановится', 'реализовать', 'потенциал', 'студента']",многообещающий молодой барабанщик записываться музыкальный консерватория мечта величие обучаться инструктор остановиться реализовать потенциал студент,0,Повседневные драмы и семейные истории
39,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Харакири</span>","Когда Ронин, прося Сеппуку во дворце феодального лорда, рассказывается о жестоком самоубийстве другого Ронина, который ранее посещал, он показывает, как их прошлые переплетаются - и при этом ... прочтите все",1962,Not Rated,8.6,13,2,9,"['ронин', 'прося', 'сеппуку', 'дворце', 'феодального', 'лорда', 'рассказывается', 'жестоком', 'самоубийстве', 'другого', 'ронина', 'ранее', 'посещал', 'показывает', 'прошлые', 'переплетаются', 'прочтите']",ронина просить сеппук дворец феодальный лорд рассказываться жестокий самоубийство ронина ранее посещать показывать прошлый переплетаться прочесть,-1,Военные драмы и супергеройские конфликты
40,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Американская история Икс</span>","Живая жизнью, отмеченная насилием, Неонацистский Дерек, наконец, отправляется в тюрьму после убийства двух чернокожих молодых людей. После его освобождения Дерек клянется измениться; Он надеется предотвратить его брата Дэнни, который идентифицирует",1998,16+,8.5,59,1,4,"['живая', 'жизнью', 'отмеченная', 'насилием', 'неонацистский', 'дерек', 'отправляется', 'тюрьму', 'убийства', 'двух', 'чернокожих', 'молодых', 'людей', 'освобождения', 'дерек', 'клянется', 'измениться', 'надеется', 'предотвратить', 'брата', 'дэнни', 'идентифицирует']",живой жизнь отметить насилие неонацистский дерек отправляться тюрьма убийство чернокожий молодой человек освобождение дерек клясться измениться надеяться предотвратить брат дэнни идентифицировать,0,Повседневные драмы и семейные истории
