,title,description,year,age_limit,rating,minutes,hours,age_limit_encoded,clean_tokenised_description,lemmatized_description,topic,topic_name
41,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Престиж</span>",Соперничающие маги 19-го века вступают в горькую битву за коммерческие секреты.,2006,12+,8.5,10,2,2,"['соперничающие', 'маги', '19го', 'века', 'вступают', 'горькую', 'битву', 'коммерческие', 'секреты']",соперничать маг 19го век вступать горький битва коммерческий секрет,3,Криминальные триллеры и полицейские расследования
42,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Леон</span>",Итальянский хит -мужчина защищает нью -йоркскую сироту.,1994,16+,8.5,50,1,4,"['итальянский', 'хит', 'мужчина', 'защищает', 'нью', 'йоркскую', 'сироту']",итальянский хит мужчина защищать нью йоркский сирота,-1,Военные драмы и супергеройские конфликты
43,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Человек-паук: Паутина вселенных</span>","Путешествуя по мультивселенной, Майлз Моралес встречает новую команду пауков, состоящую из героев из разных измерений. Но когда герои сталкиваются с тем, как справиться с новой угрозой, м ... прочитайте все",2023,6+,8.5,20,2,6,"['путешествуя', 'мультивселенной', 'майлз', 'моралес', 'встречает', 'новую', 'команду', 'пауков', 'состоящую', 'героев', 'разных', 'измерений', 'герои', 'сталкиваются', 'справиться', 'новой', 'угрозой', 'м', 'прочитайте']",путешествовать мультивселенная майлз моралеса встречать новый команда паук состоять герой разный измерение герой сталкиваться справиться новый угроза м прочитать,1,Эпическая фантастика и космические приключения
44,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Касабланка</span>","Циничный экспатриант американский владелец кафе изо всех сил пытается решить, помогать ли его бывшему любовнику и ее бегтерцу избежать нацистов во французском Марокко.",1942,6+,8.5,42,1,6,"['циничный', 'экспатриант', 'американский', 'владелец', 'кафе', 'изо', 'сил', 'пытается', 'решить', 'помогать', 'бывшему', 'любовнику', 'бегтерцу', 'избежать', 'нацистов', 'французском', 'марокко']",циничный экспатриант американский владелец кафе сила пытаться решить помогать бывший любовник бегтерец избежать нацист французский марокко,3,Криминальные триллеры и полицейские расследования
45,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Подозрительные лица</span>","Единственный выживший в результате перестрелки пирса рассказывает историю о том, как пресловутый преступник повлиял на события, которые начались с пяти преступников, собравшихся в кажущейся случайной полицейской линейке.",1995,16+,8.5,46,1,4,"['единственный', 'выживший', 'результате', 'перестрелки', 'пирса', 'рассказывает', 'историю', 'пресловутый', 'преступник', 'повлиял', 'события', 'которые', 'начались', 'пяти', 'преступников', 'собравшихся', 'кажущейся', 'случайной', 'полицейской', 'линейке']",единственный выжить результат перестрелка пирс рассказывать история пресловутый преступник повлиять событие начаться пять преступник собраться кажущийся случайный полицейский линейка,3,Криминальные триллеры и полицейские расследования
46,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">1+1</span>","После того, как он становится четырехлетним из аварии на парапланеринге, аристократ нанимает молодого человека из проектов, чтобы он был его попечителем.",2011,14+,8.5,52,1,3,"['становится', 'четырехлетним', 'аварии', 'парапланеринге', 'аристократ', 'нанимает', 'молодого', 'человека', 'проектов', 'попечителем']",становиться четырёхлетний авария парапланеринга аристократ нанимать молодой человек проект попечитель,0,Повседневные драмы и семейные истории
47,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Новый кинотеатр «Парадизо»</span>","Сальваторе, известный режиссер, возвращается в свой родной город на похороны резокриста местного театра Альфредо. Он вспоминает о своей жизни, когда молодой мальчик влюбился с ... читайте все",1988,16+,8.5,54,2,4,"['сальваторе', 'известный', 'режиссер', 'возвращается', 'родной', 'город', 'похороны', 'резокриста', 'местного', 'театра', 'альфредо', 'вспоминает', 'своей', 'жизни', 'молодой', 'мальчик', 'влюбился', 'читайте']",сальватор известный режиссёр возвращаться родный город похороны резокриста местный театр альфредо вспоминать жизнь молодой мальчик влюбиться читать,0,Повседневные драмы и семейные истории
48,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Новые времена</span>",Бродяга изо всех сил пытается жить в современном промышленном обществе с помощью молодой бездомной женщины.,1936,0+,8.5,27,1,1,"['бродяга', 'изо', 'сил', 'пытается', 'жить', 'современном', 'промышленном', 'обществе', 'помощью', 'молодой', 'бездомной', 'женщины']",бродяга сила пытаться жить современный промышленный общество помощь молодой бездомный женщина,0,Повседневные драмы и семейные истории
49,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Чужой</span>",После изучения таинственной передачи неизвестного происхождения экипаж коммерческого космического корабля встречает смертельную форму жизни.,1979,18+,8.5,57,1,5,"['изучения', 'таинственной', 'передачи', 'неизвестного', 'происхождения', 'экипаж', 'коммерческого', 'космического', 'корабля', 'встречает', 'смертельную', 'форму', 'жизни']",изучение таинственный передача неизвестный происхождение экипаж коммерческий космический корабль встречать смертельный форма жизнь,1,Эпическая фантастика и космические приключения
50,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Окно во двор</span>","Скучный фотограф, выздоравливающий от сломанной ноги, проходит время, наблюдая за своими соседями и начинает подозревать одного из них об убийстве.",1954,12+,8.5,52,1,2,"['скучный', 'фотограф', 'выздоравливающий', 'сломанной', 'ноги', 'проходит', 'время', 'наблюдая', 'своими', 'соседями', 'начинает', 'подозревать', 'одного', 'убийстве']",скучный фотограф выздоравливать сломать нога проходить время наблюдать сосед начинать подозревать убийство,3,Криминальные триллеры и полицейские расследования
51,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Однажды на Диком Западе</span>","Загадочный незнакомец с гармоникой объединяет усилия с печально известным отчаянием, чтобы защитить прекрасную вдову от безжалостной убийцы, работающей на железной дороге.",1968,PG-13,8.5,46,2,11,"['загадочный', 'незнакомец', 'гармоникой', 'объединяет', 'усилия', 'печально', 'известным', 'отчаянием', 'защитить', 'прекрасную', 'вдову', 'безжалостной', 'убийцы', 'работающей', 'железной', 'дороге']",загадочный незнакомец гармоника объединять усилие печально известный отчаяние защитить прекрасный вдова безжалостный убийца работать железный дорога,0,Повседневные драмы и семейные истории
52,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Джанго освобождённый</span>","С помощью немецкой охотника за щедрости, освобожденный раб, который собирается спасти свою жену от жестокого владельца плантации в Миссисипи.",2012,18+,8.5,45,2,5,"['помощью', 'немецкой', 'охотника', 'щедрости', 'освобожденный', 'раб', 'собирается', 'спасти', 'жену', 'жестокого', 'владельца', 'плантации', 'миссисипи']",помощь немецкий охотник щедрость освободить раб собираться спасти жена жестокий владелец плантация миссисипи,3,Криминальные триллеры и полицейские расследования
53,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Огни большого города</span>","С помощью богатого беспорядочного Tippler, бродяги с влажными глазами, который влюбился в невидимую цветочную девушку, накапливает деньги, чтобы помогать ей медицинской помощи.",1931,G,8.5,27,1,8,"['помощью', 'богатого', 'беспорядочного', 'tippler', 'бродяги', 'влажными', 'глазами', 'влюбился', 'невидимую', 'цветочную', 'девушку', 'накапливает', 'деньги', 'помогать', 'медицинской', 'помощи']",помощь богатый беспорядочный tippler бродяга влажный глаз влюбиться невидимый цветочный девушка накапливать деньга помогать медицинский помощь,0,Повседневные драмы и семейные истории
54,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Апокалипсис сегодня</span>","Офицеру армии США, служащего во Вьетнаме, поручено убийством полковника спецназа Renegade, который считает себя Богом.",1979,18+,8.4,27,2,5,"['офицеру', 'армии', 'сша', 'служащего', 'вьетнаме', 'поручено', 'убийством', 'полковника', 'спецназа', 'renegade', 'считает', 'богом']",офицер армия сша служащий вьетнам поручить убийство полковник спецназ renegade считать бог,-1,Военные драмы и супергеройские конфликты
55,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Дюна: Часть вторая</span>","Пол Атрейдес объединяется с Фременом, находясь на пути мести, отомстив заговорщикам, которые уничтожили его семью. Столкнувшись с выбором между любовью всей его жизни и судьбой Вселенной ... Прочтите все",2024,PG-13,8.5,46,2,11,"['пол', 'атрейдес', 'объединяется', 'фременом', 'находясь', 'пути', 'мести', 'отомстив', 'заговорщикам', 'которые', 'уничтожили', 'семью', 'столкнувшись', 'выбором', 'любовью', 'всей', 'жизни', 'судьбой', 'вселенной', 'прочтите']",пол атрейдес объединяться фременом находиться путь месть отомстить заговорщик уничтожить семья столкнуться выбор любовь весь жизнь судьба вселенная прочесть,1,Эпическая фантастика и космические приключения
56,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Помни</span>","Леонард Шелби, следователь по страхованию, страдает от антероградной амнезии и использует заметки и татуировки, чтобы охотиться за человеком, который, по его мнению, убил его жену, что является последним, что он помнит.",2000,16+,8.4,53,1,4,"['леонард', 'шелби', 'следователь', 'страхованию', 'страдает', 'антероградной', 'амнезии', 'использует', 'заметки', 'татуировки', 'охотиться', 'человеком', 'мнению', 'убил', 'жену', 'является', 'последним', 'помнит']",леонард шелбить следователь страхование страдать антероградный амнезия использовать заметка татуировка охотиться человек мнение убить жена являться последний помнить,3,Криминальные триллеры и полицейские расследования
57,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">ВАЛЛ·И</span>","Робот, который отвечает за очистку покрытой отходом земля, встречает другого робота и влюбляется в нее. Вместе они отправились в путешествие, которое изменит судьбу человечества.",2008,0+,8.4,38,1,1,"['робот', 'отвечает', 'очистку', 'покрытой', 'отходом', 'земля', 'встречает', 'другого', 'робота', 'влюбляется', 'вместе', 'отправились', 'путешествие', 'которое', 'изменит', 'судьбу', 'человечества']",робот отвечать очистка покрыть отход земля встречать робот влюбляться вместе отправиться путешествие изменить судьба человечество,1,Эпическая фантастика и космические приключения
58,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Индиана Джонс: В поисках утраченного ковчега</span>","В 1936 году археологи и авантюристы правительства США наняли Индиана Джонс, чтобы найти Ковчег Завета, прежде чем нацисты смогли получить свои необычайные полномочия.",1981,0+,8.4,55,1,1,"['1936', 'году', 'археологи', 'авантюристы', 'правительства', 'сша', 'наняли', 'индиана', 'джонс', 'найти', 'ковчег', 'завета', 'прежде', 'нацисты', 'смогли', 'получить', 'свои', 'необычайные', 'полномочия']",1936 археолог авантюрист правительство сша нанять индиана джонс найти ковчег завет прежде нацист смочь получить необычайный полномочие,2,Исторические драмы о Второй мировой войне
59,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Жизнь других</span>","В 1984 году в Восточном Берлине агент секретной полиции, проводящего наблюдение за писателем и его любовником, становится все более поглощенным своей жизнью.",2006,16+,8.4,17,2,4,"['1984', 'году', 'восточном', 'берлине', 'агент', 'секретной', 'полиции', 'проводящего', 'наблюдение', 'писателем', 'любовником', 'становится', 'поглощенным', 'своей', 'жизнью']",1984 восточный берлин агент секретный полиция проводить наблюдение писатель любовник становиться поглотить жизнь,3,Криминальные триллеры и полицейские расследования
60,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Мстители: Война бесконечности</span>","Мстители и их союзники должны быть готовы пожертвовать всеми в попытке победить могущественных Таноса, прежде чем его блиц разрушительного и руина положит конец вселенной.",2018,16+,8.4,29,2,4,"['мстители', 'союзники', 'должны', 'готовы', 'пожертвовать', 'всеми', 'попытке', 'победить', 'могущественных', 'таноса', 'прежде', 'блиц', 'разрушительного', 'руина', 'положит', 'конец', 'вселенной']",мститель союзник должный готовый пожертвовать весь попытка победить могущественный танос прежде блиц разрушительный руина положить конец вселенная,1,Эпическая фантастика и космические приключения
61,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Сансет бульвар</span>","Сценарист развивает опасные отношения с выцветшей кинозвездой, решившей, чтобы сделать триумфальное возвращение.",1950,Approved,8.4,50,1,7,"['сценарист', 'развивает', 'опасные', 'отношения', 'выцветшей', 'кинозвездой', 'решившей', 'сделать', 'триумфальное', 'возвращение']",сценарист развивать опасный отношение выцветший кинозвезда решить сделать триумфальный возвращение,0,Повседневные драмы и семейные истории
62,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Человек-паук: Через Вселенные</span>","Teen Miles Morales становится Человеком-пауком своей вселенной и должен присоединиться к пять человек с пауками из других измерений, чтобы остановить угрозу для всех реалий.",2018,6+,8.4,57,1,6,"['teen', 'miles', 'morales', 'становится', 'человекомпауком', 'своей', 'вселенной', 'должен', 'присоединиться', 'пять', 'человек', 'пауками', 'других', 'измерений', 'остановить', 'угрозу', 'реалий']",teen miles morales становиться человекомпаукома вселенная должный присоединиться пять человек паук измерение остановить угроза реалия,1,Эпическая фантастика и космические приключения
63,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Тропы славы</span>","Полковник защищает трех своих солдат в военном суде после того, как они отказываются от суицидальной атаки.",1957,Approved,8.4,28,1,7,"['полковник', 'защищает', 'трех', 'своих', 'солдат', 'военном', 'суде', 'отказываются', 'суицидальной', 'атаки']",полковник защищать солдат военный суд отказываться суицидальный атака,-1,Военные драмы и супергеройские конфликты
64,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Свидетель обвинения</span>","Ветеран британский адвокат должен защищать своего клиента в ходе судебного разбирательства, который удивил после удивления.",1957,Approved,8.4,56,1,7,"['ветеран', 'британский', 'адвокат', 'должен', 'защищать', 'своего', 'клиента', 'ходе', 'судебного', 'разбирательства', 'удивил', 'удивления']",ветеран британский адвокат должный защищать клиент ход судебный разбирательство удивить удивление,3,Криминальные триллеры и полицейские расследования
65,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Сияние</span>","Семья направляется в изолированный отель на зиму, где зловещее присутствие влияет на отца на насилие. В то же время его экстрасенс",1980,18+,8.4,26,2,5,"['семья', 'направляется', 'изолированный', 'отель', 'зиму', 'зловещее', 'присутствие', 'влияет', 'отца', 'насилие', 'время', 'экстрасенс']",семья направляться изолировать отель зима зловещий присутствие влиять отец насилие время экстрасенс,-1,Военные драмы и супергеройские конфликты
66,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Великий диктатор</span>","Диктатор Аденоид Хинкель пытается расширить свою империю, в то время как бедный еврейский парикмахер пытается избежать преследований с режима Хинкеля.",1940,0+,8.4,5,2,1,"['диктатор', 'аденоид', 'хинкель', 'пытается', 'расширить', 'империю', 'время', 'бедный', 'еврейский', 'парикмахер', 'пытается', 'избежать', 'преследований', 'режима', 'хинкеля']",диктатор аденоид хинкель пытаться расширить империя время бедный еврейский парикмахер пытаться избежать преследование режим хинкель,2,Исторические драмы о Второй мировой войне
67,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">12-я неудача</span>",Реальная история офицера IPS Маноджа Кумара Шарма и офицера IRS Шраддха Джоши.,2023,Not Rated,8.8,27,2,9,"['реальная', 'история', 'офицера', 'ips', 'маноджа', 'кумара', 'шарма', 'офицера', 'irs', 'шраддха', 'джоши']",реальный история офицер ips манодж кумар шарм офицер irs шраддх джоша,-1,Военные драмы и супергеройские конфликты
68,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Чужой 2</span>","Через десятилетия после выживания инцидента с Ностромо Эллен Рипли отправляют, чтобы восстановить контакт с терраформирующей колонией, но она сражается с королевой инопланетян и ее потомством.",1986,16+,8.4,17,2,4,"['десятилетия', 'выживания', 'инцидента', 'ностромо', 'эллен', 'рипли', 'отправляют', 'восстановить', 'контакт', 'терраформирующей', 'колонией', 'сражается', 'королевой', 'инопланетян', 'потомством']",десятилетие выживание инцидент ностромый эллен рипнуть отправлять восстановить контакт терраформировать колония сражаться королева инопланетянин потомство,1,Эпическая фантастика и космические приключения
69,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Бесславные ублюдки</span>",Во время Второй мировой войны во время Второй мировой войны план убийства нацистских лидеров группой еврейских солдат США совпадает с мстительными планами владельца театра на то же самое.,2009,18+,8.4,33,2,5,"['время', 'второй', 'мировой', 'войны', 'время', 'второй', 'мировой', 'войны', 'план', 'убийства', 'нацистских', 'лидеров', 'группой', 'еврейских', 'солдат', 'сша', 'совпадает', 'мстительными', 'планами', 'владельца', 'театра', 'самое']",время второй мировой война время второй мировой война план убийство нацистский лидер группа еврейский солдат сша совпадать мстительный план владелец театр самый,2,Исторические драмы о Второй мировой войне
70,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Тёмный рыцарь: Возрождение легенды</span>","Бэйн, внушительный террорист, нападает на Готэм-Сити и нарушает свой восьмилетний период мира. Это заставляет Брюса Уэйна выйти из скрытия и снова надеть накидку и капот Бэтмена.",2012,12+,8.4,44,2,2,"['бэйн', 'внушительный', 'террорист', 'нападает', 'готэмсити', 'нарушает', 'восьмилетний', 'период', 'мира', 'это', 'заставляет', 'брюса', 'уэйна', 'выйти', 'скрытия', 'снова', 'надеть', 'накидку', 'капот', 'бэтмена']",бэйн внушительный террорист нападать готэмсити нарушать восьмилетний период мир это заставлять брюс уэйн выйти скрытие снова надеть накидка капот бэтмена,-1,Военные драмы и супергеройские конфликты
71,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Тайна Коко</span>","Стремительный музыкант Мигель, столкнувшись с наследственным запретом своей семьи на музыку, входит в землю мертвых, чтобы найти своего пра-пра-дедушки, легендарного певца.",2017,12+,8.4,45,1,2,"['стремительный', 'музыкант', 'мигель', 'столкнувшись', 'наследственным', 'запретом', 'своей', 'семьи', 'музыку', 'входит', 'землю', 'мертвых', 'найти', 'своего', 'прапрадедушки', 'легендарного', 'певца']",стремительный музыкант мигель столкнуться наследственный запрет семья музыка входить земля мёртвый найти прапрадедушка легендарный певец,0,Повседневные драмы и семейные истории
72,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Амадей</span>","Жизнь, успех и неприятности Вольфганга Амадея Моцарта, как сказал Антонио Сальери, современный композитор, который глубоко завидовал таланту Моцарта и утверждал, что убил его ... прочтите все",1984,PG,8.4,40,2,10,"['жизнь', 'успех', 'неприятности', 'вольфганга', 'амадея', 'моцарта', 'сказал', 'антонио', 'сальери', 'современный', 'композитор', 'глубоко', 'завидовал', 'таланту', 'моцарта', 'утверждал', 'убил', 'прочтите']",жизнь успех неприятность вольфганг амадей моцарт сказать антонио сальери современный композитор глубоко завидовать талант моцарт утверждать убить прочесть,0,Повседневные драмы и семейные истории
73,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">История игрушек</span>","Ковбойская кукла глубоко угрожает и завидует, когда новая фигура по борьбе с космосором вытесняет его в качестве лучшей игрушки в спальне мальчика.",1995,6+,8.3,21,1,6,"['ковбойская', 'кукла', 'глубоко', 'угрожает', 'завидует', 'новая', 'фигура', 'борьбе', 'космосором', 'вытесняет', 'качестве', 'лучшей', 'игрушки', 'спальне', 'мальчика']",ковбойский кукла глубоко угрожать завидовать новый фигура борьба космосором вытеснять качество хороший игрушка спальня мальчик,1,Эпическая фантастика и космические приключения
74,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Мстители: Финал</span>","После разрушительных событий Мтситетели: ВОЕННАЯ БОСКОНЕГЕАНА (2018) вселенная находится в руинах. С помощью оставшихся союзников Мстители собираются еще раз, чтобы повернуть в виду Танос ... прочитать все",2019,16+,8.4,1,3,4,"['разрушительных', 'событий', 'мтситетели', 'военная', 'босконегеана', '2018', 'вселенная', 'находится', 'руинах', 'помощью', 'оставшихся', 'союзников', 'мстители', 'собираются', 'повернуть', 'виду', 'танос', 'прочитать']",разрушительный событие мтситететь военный босконегеана 2018 вселенная находиться руина помощь остаться союзник мститель собираться повернуть вид танос прочитать,-1,Военные драмы и супергеройские конфликты
75,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Умница Уилл Хантинг</span>","У Уилл Хантинг, уборщик в MIT, есть подарок для математики, но нуждается в помощи психолога, чтобы найти направление в его жизни.",1997,16+,8.3,6,2,4,"['уилл', 'хантинг', 'уборщик', 'mit', 'подарок', 'математики', 'нуждается', 'помощи', 'психолога', 'найти', 'направление', 'жизни']",уилла хантинг уборщик mit подарок математика нуждаться помощь психолог найти направление жизнь,0,Повседневные драмы и семейные истории
76,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Олдбой</span>","После того, как он был похищен и заключен в тюрьму в течение пятнадцати лет, Огал Дэ-су освобождается, только чтобы обнаружить, что он должен отследить своего похитителя за пять дней.",2003,18+,8.3,0,2,5,"['похищен', 'заключен', 'тюрьму', 'течение', 'пятнадцати', 'лет', 'огал', 'дэсу', 'освобождается', 'обнаружить', 'должен', 'отследить', 'своего', 'похитителя', 'пять', 'дней']",похитить заключить тюрьма течение пятнадцать огала дэс освобождаться обнаружить должный отследить похититель пять день,3,Криминальные триллеры и полицейские расследования
77,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Доктор Стрейнджлав, или Как я научился не волноваться и полюбил атомную бомбу</span>","Мраво неуравновешенная американская общая приказывает к приступу водородной бомб на Советский Союз, инициируя путь к глобальному ядерному Холокосту, что военная комната, полная политиков и генералов, безумно ... прочитайте все",1964,PG,8.3,35,1,10,"['мраво', 'неуравновешенная', 'американская', 'общая', 'приказывает', 'приступу', 'водородной', 'бомб', 'советский', 'союз', 'инициируя', 'путь', 'глобальному', 'ядерному', 'холокосту', 'военная', 'комната', 'полная', 'политиков', 'генералов', 'безумно', 'прочитайте']",мраво неуравновешенный американский общий приказывать приступ водородный бомба советский союз инициировать путь глобальный ядерный холокост военный комната полный политик генерал безумно прочитать,2,Исторические драмы о Второй мировой войне
78,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Красота по-американски</span>","Сексуально разочарованный пригородный отец имеет кризис в середине жизни после того, как он увлекся лучшим другом его дочери.",1999,16+,8.3,2,2,4,"['сексуально', 'разочарованный', 'пригородный', 'отец', 'имеет', 'кризис', 'середине', 'жизни', 'увлекся', 'лучшим', 'другом', 'дочери']",сексуально разочаровать пригородный отец иметь кризис середина жизнь увлечься хороший друг дочь,0,Повседневные драмы и семейные истории
79,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Подводная лодка</span>","Немецкая подводная лодка преследует холодные воды Северной Атлантики, когда ее молодая команда испытывает ужас и клаустрофобную жизнь подводного лодка во Второй мировой войне.",1981,Not Rated,8.4,29,2,9,"['немецкая', 'подводная', 'лодка', 'преследует', 'холодные', 'воды', 'северной', 'атлантики', 'молодая', 'команда', 'испытывает', 'ужас', 'клаустрофобную', 'жизнь', 'подводного', 'лодка', 'второй', 'мировой', 'войне']",немецкий подводный лодка преследовать холодное вода северный атлантика молодой команда испытывать ужас клаустрофобный жизнь подводный лодка второй мировой война,2,Исторические драмы о Второй мировой войне
80,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Храброе сердце</span>","Шотландский воин Уильям Уоллес ведет своих соотечественников в восстании, чтобы освободить свою родину от тирании короля Эдварда I из Англии.",1995,16+,8.3,58,2,4,"['шотландский', 'воин', 'уильям', 'уоллес', 'ведет', 'своих', 'соотечественников', 'восстании', 'освободить', 'родину', 'тирании', 'короля', 'эдварда', 'i', 'англии']",шотландский воин уильям уоллес вести соотечественник восстание освободить родина тирания король эдвард i англия,1,Эпическая фантастика и космические приключения
81,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Принцесса Мононоке</span>","Стремясь вылечить себя от проклятия, молодой воин Ашитака наткнулся на конфликт между народом Железного Тауна и принцессой Мононоке, девушкой, воспитанной волками, которая остановится, не ... читать все",1997,12+,8.3,13,2,2,"['стремясь', 'вылечить', 'проклятия', 'молодой', 'воин', 'ашитака', 'наткнулся', 'конфликт', 'народом', 'железного', 'тауна', 'принцессой', 'мононоке', 'девушкой', 'воспитанной', 'волками', 'которая', 'остановится', 'читать']",стремиться вылечить проклятие молодой воин ашитака наткнуться конфликт народ железный тауна принцесса мононок девушка воспитанный волк остановиться читать,1,Эпическая фантастика и космические приключения
82,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Твоё имя</span>","Двое подростков имеют глубокую, волшебную связь, обнаружив, что они меняют тела. Все может стать еще сложнее, когда мальчик и девочка решают встретиться лично.",2016,12+,8.4,46,1,2,"['двое', 'подростков', 'имеют', 'глубокую', 'волшебную', 'связь', 'обнаружив', 'меняют', 'тела', 'стать', 'сложнее', 'мальчик', 'девочка', 'решают', 'встретиться', 'лично']",двое подросток иметь глубокий волшебный связь обнаружить менять тело стать сложный мальчик девочка решать встретиться лично,0,Повседневные драмы и семейные истории
83,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Рай и ад</span>","Исполнительный директор обувной компании Yokohama становится жертвой вымогательства, когда сын его шофера похищен по ошибке и удерживается за выкуп.",1963,Not Rated,8.4,23,2,9,"['исполнительный', 'директор', 'обувной', 'компании', 'yokohama', 'становится', 'жертвой', 'вымогательства', 'сын', 'шофера', 'похищен', 'ошибке', 'удерживается', 'выкуп']",исполнительный директор обувной компания yokohama становиться жертва вымогательство сын шофер похитить ошибка удерживаться выкуп,3,Криминальные триллеры и полицейские расследования
